tweet_id,retweet_count,favorite_count
812372279581671427,3521,13256
811985624773361665,1348,7075
811744202451197953,1531,7340
811647686436880384,709,5452
811627233043480576,2944,12373
811386762094317568,6137,20337
810984652412424192,1370,5171
810896069567610880,1687,8753
810657578271330305,2529,10656
810284430598270976,10795,34180
810254108431155201,3250,14303
809920764300447744,3782,15130
809808892968534016,4704,0
809448704142938112,1411,6758
809220051211603969,5382,19343
809084759137812480,3403,12859
808838249661788160,2933,9863
808733504066486276,2084,7687
808501579447930884,2504,11016
808344865868283904,19999,41198
808134635716833280,5670,0
808106460588765185,2128,8581
808001312164028416,3401,12184
807621403335917568,3479,14191
807106840509214720,53167,114573
807059379405148160,7066,0
807010152071229440,3727,12778
806629075125202948,33272,72384
806620845233815552,5307,0
806576416489959424,1884,4762
806542213899489280,2279,9948
806242860592926720,11177,0
806219024703037440,1158,6290
805958939288408065,5155,0
805932879469572096,1854,8093
805826884734976000,1756,6401
805823200554876929,7715,0
805520635690676224,1600,5608
805487436403003392,2439,8570
805207613751304193,1668,7649
804738756058218496,3691,13312
804475857670639616,1948,5980
804413760345620481,3102,0
804026241225523202,15493,43149
803773340896923648,2640,9782
803692223237865472,7157,0
803638050916102144,4002,10652
803380650405482500,1811,7555
803321560782307329,5106,0
803276597545603072,2364,9770
802952499103731712,1924,8798
802624713319034886,2803,0
802600418706604034,1409,6927
802572683846291456,2428,8729
802323869084381190,5639,15767
802265048156610565,1334,6768
802239329049477120,2526,8867
802185808107208704,263,0
801958328846974976,1652,7549
801854953262350336,228,1758
801538201127157760,2003,8018
801285448605831168,792,5892
801167903437357056,5670,23769
801127390143516673,3820,0
801115127852503040,2025,7853
800859414831898624,95,665
800855607700029440,1549,0
800751577355128832,2701,10321
800513324630806528,2894,12816
800459316964663297,2105,9257
800443802682937345,4152,0
800388270626521089,2693,10864
800188575492947969,3803,0
800141422401830912,2454,14868
800018252395122689,12652,27553
799774291445383169,4491,0
799757965289017345,2071,8165
799422933579902976,1850,7866
799308762079035393,5235,0
799297110730567681,2640,9613
799063482566066176,2398,7866
798933969379225600,4302,12727
798925684722855936,1393,7329
798705661114773508,6407,0
798701998996647937,7469,0
798697898615730177,6278,0
798694562394996736,4777,0
798686750113755136,2245,0
798682547630837760,4571,0
798673117451325440,5370,0
798665375516884993,3778,0
798644042770751489,1787,0
798628517273620480,1903,0
798585098161549313,5454,0
798576900688019456,5630,0
798340744599797760,3227,0
798209839306514432,2473,10161
797971864723324932,2993,11260
797545162159308800,4717,14185
797236660651966464,6333,19396
797165961484890113,26,220
